question,answer
What is early blight in potato?,Early blight is a fungal disease caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves. Treat with copper-based fungicide and remove infected leaves immediately.
How do I treat potato early blight?,Apply chlorothalonil or copper-based fungicide every 7-10 days. Remove and destroy all infected lower leaves. Use drip irrigation to keep leaves dry. Practice crop rotation annually.
What causes potato early blight?,Early blight is caused by the fungus Alternaria solani. It spreads through wind and water splash. Warm humid conditions with temperatures 24-29°C favor disease development.
What is potato late blight?,Late blight is caused by Phytophthora infestans. It appears as water-soaked lesions that turn dark brown with white mold on undersides. It destroyed the Irish potato crop in 1845 and is extremely destructive.
How serious is potato late blight?,Very serious — late blight can destroy an entire crop within 10 days if untreated. Apply metalaxyl or mancozeb fungicide immediately. Remove and bag all infected plant material. Do not compost it.
How to prevent potato late blight?,Plant resistant varieties like Sarpo Mira or Valor. Apply preventive fungicide in humid weather. Ensure good air circulation. Avoid overhead watering. Remove infected plants immediately.
What does a healthy potato plant look like?,A healthy potato plant has dark green compound leaves without spots or lesions. Stems are upright and strong. No yellowing or wilting is visible during the day.
How often should I water potato plants?,Water potato plants deeply once or twice a week. Soil should be moist but never waterlogged. Use drip irrigation at the base to keep foliage dry and prevent disease.
What is tomato yellow leaf curl virus?,Tomato Yellow Leaf Curl Virus (TYLCV) is spread by whiteflies. Infected plants show upward curling of leaves, yellowing at leaf margins, stunted growth, and flower drop. There is no cure once infected.
How to treat tomato yellow leaf curl virus?,There is no cure. Remove and destroy infected plants immediately to prevent spread. Control whiteflies with yellow sticky traps neem oil spray and insecticidal soap. Plant resistant varieties next season.
How do whiteflies spread tomato virus?,Whiteflies (Bemisia tabaci) acquire the virus by feeding on infected plants and then transmit it when feeding on healthy plants. Even a small whitefly population can spread TYLCV rapidly.
What is tomato early blight?,Tomato early blight is caused by Alternaria solani. It causes dark brown circular spots with yellow halos usually starting on older lower leaves. It weakens the plant and reduces fruit yield significantly.
How to treat tomato early blight?,Remove infected leaves immediately. Apply mancozeb chlorothalonil or copper fungicide every 7-10 days. Water at soil level only using drip irrigation. Space plants 60cm apart for airflow.
What causes tomato early blight?,The fungus Alternaria solani causes tomato early blight. It survives in soil and on infected plant debris. Spores spread by wind water splash and contaminated tools. Warm humid weather 24-29°C triggers outbreaks.
What is tomato late blight?,Tomato late blight caused by Phytophthora infestans produces large dark water-soaked lesions on leaves stems and fruits. White fungal growth appears on leaf undersides. It spreads very rapidly in cool wet weather.
How to identify tomato bacterial spot?,Bacterial spot causes small water-soaked spots on leaves that turn brown with yellow halos. Spots may merge causing leaf blight. Fruits show raised scab-like spots. It spreads in warm wet conditions.
